,DATATYPE,CNT,TIME,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN,USER
92,SMP,3133,57.34677,0.57532,0.48531,10.67828,1.67191,1,0.86012,0.57543,11.57874,1.65015,1,0.01024,-0.00006,0.65795,0.00416,1,0.02710,-0.00230,0.61262,0.00421,1,0,0.00000,17,0
94,SMP,3134,57.36003,0.57527,0.48495,10.61244,1.62731,1,0.86049,0.57553,10.87119,1.60556,1,0.01024,-0.00006,0.65795,0.00421,1,0.02710,-0.00230,0.61262,0.00421,1,0,0.00000,17,0
95,SMP,3135,57.3627,0.57534,0.48475,10.52647,1.60556,1,0.86016,0.57477,10.99624,1.60556,1,0.01024,-0.00006,0.65795,0.00416,1,0.02710,-0.00230,0.61262,0.00412,1,0,0.00000,17,0
97,SMP,3136,57.36633,0.57539,0.48465,10.76887,1.60556,1,0.86037,0.57520,11.16107,1.60556,1,0.01024,-0.00006,0.65795,0.00409,1,0.02710,-0.00230,0.61262,0.00425,1,0,0.00000,17,0
98,SMP,3137,57.38027,0.57541,0.48476,10.69365,1.60556,1,0.86037,0.57520,11.16107,1.60556,1,0.01024,-0.00006,0.65795,0.00417,1,0.02710,-0.00230,0.61262,0.00425,1,0,0.00000,17,0
100,SMP,3138,57.38182,0.57554,0.48457,10.38744,1.60556,1,0.86041,0.57509,10.93928,1.60556,1,0.01024,-0.00006,0.65795,0.00418,1,0.02710,-0.00230,0.61262,0.00409,1,0,0.00000,17,0
101,SMP,3139,57.38329,0.57528,0.48470,10.88038,1.60556,1,0.86052,0.57545,10.88316,1.60556,1,0.01024,-0.00006,0.65795,0.00414,1,0.02710,-0.00230,0.61262,0.00423,1,0,0.00000,17,0
103,SMP,3140,57.38488,0.57538,0.48561,10.55183,1.60556,1,0.86040,0.57708,11.85867,1.60556,1,0.01024,-0.00006,0.65795,0.00411,1,0.02710,-0.00230,0.61262,0.00426,1,0,0.00000,17,0
104,SMP,3141,57.38675,0.57556,0.48637,11.08536,1.60556,1,0.86022,0.57704,11.45038,1.60556,1,0.01024,-0.00006,0.65795,0.00416,1,0.02710,-0.00230,0.61262,0.00432,1,0,0.00000,17,0
105,SMP,3142,57.39658,0.57589,0.48645,10.76267,1.60556,1,0.86069,0.57773,11.69940,1.60556,1,0.01024,-0.00006,0.65795,0.00417,1,0.02710,-0.00230,0.61262,0.00436,1,0,0.00000,17,0
106,SMP,3143,57.41353,0.57605,0.48679,10.85558,1.60556,1,0.86073,0.57792,11.58463,1.60556,1,0.01024,-0.00006,0.65795,0.00428,1,0.02710,-0.00230,0.61262,0.00429,1,0,0.00000,17,0
108,SMP,3144,57.42951,0.57612,0.48662,11.05817,1.60556,1,0.86063,0.57798,11.80714,1.60556,1,0.01024,-0.00006,0.65795,0.00425,1,0.02710,-0.00230,0.61262,0.00426,1,0,0.00000,17,0
110,SMP,3145,57.44594,0.57653,0.48709,11.06381,1.60556,1,0.86107,0.57861,11.46655,1.60556,1,0.01024,-0.00006,0.65795,0.00416,1,0.02710,-0.00230,0.61262,0.00435,1,0,0.00000,17,0
111,SMP,3146,57.46226,0.57659,0.48698,10.92773,1.60556,1,0.86118,0.57910,11.10131,1.60556,1,0.01024,-0.00006,0.65795,0.00418,1,0.02710,-0.00230,0.61262,0.00455,1,0,0.00000,17,0
113,SMP,3147,57.4803,0.57675,0.48681,11.11509,1.60556,1,0.86130,0.57894,11.33312,1.60556,1,0.01024,-0.00006,0.65795,0.00428,1,0.02710,-0.00230,0.61262,0.00452,1,0,0.00000,17,0
114,SMP,3148,57.49604,0.57705,0.48722,11.27336,1.60556,1,0.86138,0.57943,11.25384,1.60556,1,0.01024,-0.00006,0.65795,0.00430,1,0.02710,-0.00230,0.61262,0.00458,1,0,0.00000,17,0
115,SMP,3149,57.51593,0.57696,0.48730,11.15639,1.60556,1,0.86157,0.57918,11.52152,1.60556,1,0.01024,-0.00006,0.65795,0.00424,1,0.02710,-0.00230,0.61262,0.00458,1,0,0.00000,17,0
116,SMP,3150,57.55974,0.57717,0.48760,11.31225,1.60556,1,0.86140,0.57944,11.19762,1.60556,1,0.01024,-0.00006,0.65795,0.00420,1,0.02710,-0.00230,0.61262,0.00460,1,0,0.00000,17,0
117,SMP,3151,57.57209,0.57692,0.48798,10.75305,1.60556,1,0.86154,0.57938,11.59481,1.60556,1,0.01024,-0.00006,0.65795,0.00436,1,0.02710,-0.00230,0.61262,0.00424,1,0,0.00000,17,0
118,SMP,3152,57.57426,0.57707,0.48840,10.88448,1.60556,1,0.86153,0.57965,11.45228,1.60556,1,0.01024,-0.00006,0.65795,0.00434,1,0.02710,-0.00230,0.61262,0.00440,1,0,0.00000,17,0
119,SMP,3153,57.58945,0.57711,0.48841,10.99458,1.60556,1,0.86150,0.57984,11.52592,1.60556,1,0.01024,-0.00006,0.65795,0.00420,1,0.02710,-0.00230,0.61262,0.00432,1,0,0.00000,17,0
120,SMP,3154,57.59383,0.57732,0.48889,10.73312,1.60556,1,0.86180,0.58039,11.40217,1.60556,1,0.01024,-0.00006,0.65795,0.00428,1,0.02710,-0.00230,0.61262,0.00431,1,0,0.00000,17,0
121,SMP,3155,57.61015,0.57739,0.48913,10.83212,1.60556,1,0.86169,0.58106,11.77415,1.60556,1,0.01024,-0.00006,0.65795,0.00418,1,0.02710,-0.00230,0.61262,0.00437,1,0,0.00000,17,0
122,SMP,3156,57.62662,0.57742,0.48949,10.80019,1.60556,1,0.86169,0.58106,11.77415,1.60556,1,0.01024,-0.00006,0.65795,0.00440,1,0.02710,-0.00230,0.61262,0.00437,1,0,0.00000,17,0
123,SMP,3157,57.64322,0.57749,0.48968,10.98993,1.60556,1,0.86221,0.58164,11.36155,1.60556,1,0.01024,-0.00006,0.65795,0.00429,1,0.02710,-0.00230,0.61262,0.00437,1,0,0.00000,17,0
124,SMP,3158,57.65942,0.57742,0.48965,10.83504,1.60556,1,0.86221,0.58164,11.36155,1.60556,1,0.01024,-0.00006,0.65795,0.00431,1,0.02710,-0.00230,0.61262,0.00436,1,0,0.00000,17,0
125,SMP,3159,57.67597,0.57742,0.48965,10.83504,1.60556,1,0.86221,0.58164,11.36155,1.60556,1,0.01024,-0.00006,0.65795,0.00431,1,0.02710,-0.00230,0.61262,0.00436,1,0,0.00000,17,0
126,SMP,3160,57.69226,0.57754,0.49002,10.69018,1.60556,1,0.86236,0.58165,11.05305,1.60556,1,0.01024,-0.00006,0.65795,0.00425,1,0.02710,-0.00230,0.61262,0.00443,1,0,0.00000,17,0
127,SMP,3161,57.71,0.57737,0.49023,10.98361,1.60556,1,0.86229,0.58174,11.20138,1.60556,1,0.01024,-0.00006,0.65795,0.00424,1,0.02710,-0.00230,0.61262,0.00440,1,0,0.00000,17,0
128,SMP,3162,57.72515,0.57735,0.49019,10.89386,1.60556,1,0.86229,0.58174,11.20138,1.60556,1,0.01024,-0.00006,0.65795,0.00418,1,0.02710,-0.00230,0.61262,0.00440,1,0,0.00000,17,0
129,SMP,3163,57.74356,0.57720,0.49042,10.48397,1.60556,1,0.86216,0.58157,11.23911,1.60556,1,0.01024,-0.00006,0.65795,0.00423,1,0.02710,-0.00230,0.61262,0.00438,1,0,0.00000,17,0
130,SMP,3164,57.75802,0.57703,0.49023,10.85188,1.60556,1,0.86211,0.58165,11.11580,1.60556,1,0.01024,-0.00006,0.65795,0.00412,1,0.02710,-0.00230,0.61262,0.00440,1,0,0.00000,17,0
