,TIME,USER
1,572.27344,100
2,572.28992,100
3,572.30640,100
4,572.32269,100
5,572.33911,100
6,572.35553,100
7,572.37195,100
8,572.38843,100
9,572.40479,100
10,572.42133,100
11,572.43768,100
12,572.45416,100
13,572.47052,100
14,572.48700,100
15,572.50336,100
16,572.51978,100
17,572.53644,100
18,572.55273,100
19,572.56915,100
20,572.58557,100
21,572.60205,100
22,572.61841,100
23,572.63483,100
24,572.65125,100
25,572.66766,100
26,572.68427,100
27,572.70056,100
28,572.71710,100
29,572.73340,100
30,572.74988,100
31,572.76630,100
32,572.78271,100
33,572.79913,100
34,572.81555,100
35,572.85352,100
36,572.86090,100
37,572.86481,100
38,572.88123,100
39,572.90912,100
40,572.91919,100
41,572.93060,100
42,572.94696,100
43,572.96338,100
44,572.97980,100
45,573.00940,100
46,573.01270,100
47,573.02917,100
48,573.08093,100
49,573.10809,100
50,573.11096,100
51,573.11359,100
52,573.12781,100
53,573.14410,100
54,573.16058,100
55,573.17700,100
56,573.19342,100
57,573.20978,100
58,573.22626,100
94,573.80377,52
95,573.80908,52
96,573.81769,52
97,573.83417,52
99,573.85059,51
101,573.86713,50
102,573.88348,50
104,573.89990,48
105,573.91626,48
106,573.93268,48
107,573.95465,48
109,573.96558,49
111,573.98199,48
112,573.99841,48
113,574.01483,48
115,574.03125,49
117,574.04767,48
118,574.06421,48
120,574.08057,49
121,574.10980,49
123,574.11340,45
124,574.12988,45
125,574.14630,45
126,574.16272,45
127,574.17908,45
128,574.19562,45
129,574.21198,45
130,574.22845,45
131,574.24500,45
132,574.26129,45
133,574.27771,45
134,574.29413,45
135,574.31055,45
136,574.32697,45
137,574.34344,45
138,574.35980,45
139,574.37634,45
140,574.39270,45
141,574.40924,45
142,574.42548,45
143,574.44196,45
144,574.45844,45
145,574.47485,45
146,574.49127,45
147,574.50763,45
148,574.52411,45
149,574.54053,45
150,574.55701,45
151,574.57501,45
152,574.58984,45
153,574.60767,45
154,574.62262,45
155,574.63922,45
156,574.65570,45
157,574.67279,45
158,574.68854,45
159,574.70526,45
160,574.72131,45
161,574.73767,45
162,574.75415,45
163,574.77057,45
164,574.78705,45
165,574.80341,45
166,574.81989,45
167,574.83636,45
168,574.85291,45
169,574.86914,45
170,574.88550,45
171,574.90198,45
172,574.91840,45
173,574.93488,45
174,574.95129,45
175,574.96771,45
176,574.98425,45
177,575.00055,45
178,575.01703,45
179,575.03345,45
180,575.04980,45
181,575.06647,45
182,575.08289,45
183,575.09924,45
184,575.11560,45
185,575.13214,45
186,575.14850,45
187,575.16498,45
188,575.18127,45
189,575.19775,45
190,575.21417,45
191,575.23059,45
192,575.24701,45
193,575.26349,45
194,575.27985,45
195,575.29645,45
196,575.31268,45
197,575.32922,45
198,575.34558,45
199,575.36206,45
200,575.37842,45
202,575.39496,44
204,575.41119,43
205,575.42773,43
207,575.44409,42
209,575.46057,45
211,575.47699,38
213,575.49341,34
215,575.50989,8
217,575.52625,-5
219,575.54272,-4
221,575.55920,-28
223,575.57556,-18
225,575.59204,-7
227,575.60846,1
228,575.62488,1
229,575.64136,1
231,575.65778,-2
233,575.67505,0
235,575.69067,10
236,575.70715,10
238,575.72351,-12
240,575.73993,-39
242,575.75641,-50
244,575.77271,-44
246,575.78925,-1
248,575.80560,-28
250,575.82202,-4
252,575.83850,38
254,575.85498,500
256,575.87128,500
258,575.88782,500
259,575.90417,500
260,575.92072,500
262,575.93713,70
264,575.95337,-245
266,575.96985,-373
268,575.98633,-164
270,576.00275,-51
272,576.01917,115
274,576.03558,500
276,576.05200,500
278,576.06854,145
280,576.08484,149
282,576.10132,57
284,576.11774,89
286,576.13416,13
288,576.15057,-23
289,576.16699,-23
290,576.18341,-23
292,576.20001,-35
294,576.21631,-85
296,576.23291,-221
298,576.24921,-217
300,576.26569,-253
302,576.28204,-323
304,576.29852,-171
306,576.31482,-233
308,576.33130,-132
310,576.34778,-218
312,576.39465,83
314,576.40875,34
316,576.41675,9
318,576.42029,24
320,576.43256,-22
322,576.44977,101
324,576.46301,96
326,576.47943,112
328,576.49579,500
330,576.51776,122
332,576.54553,3
333,576.55939,3
334,576.56274,3
335,576.58813,3
336,576.59570,3
337,576.62238,3
338,576.62750,3
339,576.65955,3
340,576.66833,3
341,576.67688,3
342,576.70441,3
344,576.71112,-81
346,576.74792,-28
348,576.76190,-72
350,576.76782,-2
351,576.79260,-2
353,576.79517,-10
355,576.81335,49
357,576.82422,-12
359,576.86603,20
361,576.86908,48
363,576.89258,51
365,576.89972,50
367,576.91260,60
369,576.94604,150
371,576.94922,500
373,576.96484,500
375,577.00055,500
376,577.00720,500
378,577.01044,93
380,577.02325,27
382,577.05273,34
384,577.08966,-33
386,577.10071,6
388,577.10266,-75
389,577.10541,-75
390,577.12103,-75
392,577.16498,11
394,577.17328,0
396,577.18048,38
397,577.20776,38
399,577.21313,51
401,577.21857,22
402,577.23505,22
403,577.26831,22
404,577.28583,22
406,577.30560,-22
408,577.31378,71
410,577.32050,49
412,577.33551,2
414,577.35559,101
415,577.36755,101
417,577.39978,73
419,577.40271,69
421,577.41559,57
423,577.45294,48
425,577.45728,-18
426,577.46625,-18
428,577.49811,19
430,577.50214,118
432,577.51752,114
434,577.53577,500
436,577.54810,102
438,577.56354,137
440,577.58148,120
442,577.59766,105
444,577.61273,91
445,577.63403,91
447,577.64606,9
449,577.66583,36
451,577.68341,86
453,577.69684,75
454,577.71289,75
455,577.72839,75
456,577.74561,75
458,577.77203,57
460,577.78021,105
462,577.79846,500
464,577.81006,500
466,577.82629,500
468,577.84540,500
470,577.86603,-227
472,577.88239,-225
474,577.89215,-196
476,577.90857,-89
478,577.92487,65
480,577.94177,85
482,577.95813,39
484,577.97430,84
486,577.99084,50
488,578.00708,-5
490,578.02356,-39
492,578.04236,29
494,578.06586,3
496,578.07355,32
498,578.10394,70
500,578.10712,99
502,578.12219,54
504,578.14832,500
506,578.15515,500
507,578.17755,500
509,578.19788,500
510,578.20532,500
511,578.22174,500
512,578.23975,500
513,578.26672,500
515,578.28333,500
517,578.30115,500
519,578.30865,500
520,578.31946,500
522,578.33582,500
524,578.35205,500
526,578.36859,500
528,578.40143,500
530,578.41309,132
532,578.43445,136
534,578.43884,119
536,578.45471,51
538,578.46893,57
540,578.49731,102
542,578.50146,75
544,578.53516,68
546,578.54193,53
548,578.55499,80
550,578.56683,89
552,578.58405,55
554,578.59955,44
556,578.62219,7
558,578.63147,-5
560,578.64789,37
562,578.67169,10
564,578.70264,-25
566,578.75549,44
568,578.76910,67
570,578.81128,88
572,578.81415,84
574,578.90991,135
576,578.91479,97
577,578.92285,97
578,578.93201,97
580,578.94421,500
582,578.95703,146
584,578.96021,55
585,578.96802,55
586,578.97418,55
588,578.97913,100
589,579.00433,100
590,579.01672,100
592,579.02576,139
593,579.04205,139
594,579.06665,139
595,579.08893,139
596,579.09735,139
597,579.10992,139
598,579.12714,139
599,579.14081,139
601,579.15704,117
603,579.17358,34
605,579.18994,6
607,579.20630,8
609,579.23187,23
611,579.23914,71
613,579.25574,22
615,579.27209,33
617,579.29388,53
619,579.30872,45
620,579.32129,45
622,579.33771,53
624,579.37177,8
626,579.37476,-70
628,579.41162,-33
630,579.41547,141
632,579.42017,117
634,579.50232,89
636,579.51605,-78
637,579.52429,-78
638,579.52838,-78
640,579.53345,-103
641,579.53717,-103
643,579.54065,13
645,579.56708,18
647,579.57281,22
649,579.61200,38
651,579.62915,72
652,579.66113,72
653,579.67041,72
654,579.69366,72
655,579.72302,72
656,579.73969,72
657,579.74359,72
658,579.74670,72
659,579.75085,72
660,579.76532,72
661,579.78552,72
662,579.79993,72
663,579.83862,72
664,579.84436,72
665,579.85492,72
666,579.86591,72
667,579.88025,72
668,579.89648,72
669,579.93842,72
670,579.95013,72
671,579.95306,72
672,579.96472,72
673,579.97876,72
674,579.99536,72
675,580.02130,72
676,580.02771,72
677,580.04425,72
678,580.07031,72
679,580.07764,72
680,580.12347,72
681,580.13702,72
682,580.14081,72
683,580.14392,72
684,580.16516,72
685,580.18958,72
686,580.19293,72
687,580.23584,72
688,580.23901,72
689,580.24390,72
690,580.26477,72
691,580.27496,72
692,580.29633,72
693,580.31891,72
694,580.32599,72
695,580.34564,72
696,580.35632,72
697,580.37292,72
698,580.39154,72
699,580.40564,72
700,580.43646,72
701,580.45490,72
702,580.47137,72
703,580.48962,72
704,580.51703,72
705,580.53564,72
706,580.54431,72
707,580.54736,72
708,580.55457,72
709,580.58014,72
710,580.59052,72
711,580.60651,72
712,580.63000,72
713,580.63562,72
714,580.65204,72
715,580.70929,72
716,580.74200,72
717,580.76428,72
718,580.77460,72
719,580.77814,72
720,580.78076,72
721,580.78595,72
722,580.80005,72
723,580.81763,72
724,580.83307,72
725,580.84937,72
726,580.86572,72
727,580.88208,72
728,580.89893,72
729,580.91516,72
730,580.93127,72
731,580.94794,72
732,580.96417,72
733,580.98108,72
734,580.99731,72
735,581.01935,72
736,581.02997,72
737,581.04651,72
738,581.06299,72
739,581.07953,72
740,581.09552,72
741,581.11200,72
742,581.12878,72
743,581.14484,72
744,581.16205,72
745,581.17810,72
746,581.19421,72
747,581.21069,72
748,581.22711,72
749,581.24353,72
750,581.25995,72
751,581.27643,72
752,581.29315,72
753,581.30927,72
754,581.32562,72
755,581.34265,72
756,581.35852,72
757,581.37494,72
758,581.39545,72
759,581.41895,72
760,581.42816,72
761,581.44055,72
762,581.45728,72
763,581.47345,72
764,581.49030,72
765,581.50641,72
766,581.52277,72
767,581.53943,72
768,581.55573,72
769,581.57227,72
770,581.58856,72
771,581.60498,72
772,581.62152,72
773,581.65869,72
774,581.68237,72
775,581.69141,72
776,581.72742,72
777,581.73175,72
778,581.73749,72
779,581.74011,72
780,581.75275,72
781,581.76929,72
782,581.78607,72
783,581.80225,72
784,581.81848,72
785,581.85889,72
786,581.88763,72
787,581.89093,72
788,581.90063,72
789,581.97119,72
790,582.02911,72
791,582.05768,72
792,582.06036,72
793,582.06317,72
794,582.07648,72
795,582.08044,72
796,582.08582,72
797,582.09125,72
798,582.09796,72
799,582.11432,72
800,582.13062,72
801,582.14703,72
802,582.16357,72
803,582.17999,72
804,582.19781,72
805,582.21490,72
806,582.22913,72
807,582.24780,72
808,582.26373,72
809,582.27844,72
810,582.29523,72
811,582.31146,72
812,582.32782,72
813,582.34619,72
814,582.36066,72
815,582.37708,72
816,582.39362,72
817,582.41016,72
818,582.43640,72
819,582.44312,72
820,582.45935,72
821,582.47632,72
822,582.49219,72
823,582.50867,72
824,582.53278,72
825,582.54681,72
826,582.55804,72
827,582.57452,72
828,582.59070,72
829,582.60706,72
830,582.62463,72
831,582.64001,72
832,582.65631,72
833,582.67310,72
834,582.68921,72
835,582.70569,72
836,582.72540,72
837,582.73877,72
838,582.75549,72
839,582.77148,72
840,582.79065,72
841,582.80438,72
842,582.82062,72
843,582.83765,72
844,582.86578,72
845,582.88177,72
846,582.88647,72
847,582.90387,72
848,582.91949,72
849,582.93628,72
850,582.95819,72
851,582.96906,72
852,582.98499,72
853,583.00897,72
854,583.02557,72
855,583.04718,72
856,583.05066,72
857,583.06708,72
858,583.08362,72
859,583.10065,72
860,583.11633,72
861,583.14105,72
862,583.15735,72
863,583.16559,72
864,583.18201,72
865,583.19867,72
866,583.21503,72
867,583.23163,72
868,583.24774,72
869,583.26483,72
870,583.28070,72
871,583.29706,72
872,583.31384,72
873,583.33044,72
874,583.35016,72
875,583.36389,72
876,583.37946,72
877,583.39575,72
878,583.41248,72
879,583.42859,72
880,583.45978,72
881,583.46356,72
882,583.47778,72
883,583.49658,72
884,583.51074,72
885,583.52954,72
886,583.54376,72
887,583.56006,72
888,583.57629,72
889,583.59277,72
890,583.60931,72
891,583.62561,72
892,583.64203,72
893,583.65851,72
894,583.67493,72
895,583.69128,72
896,583.70825,72
897,583.72437,72
898,583.74084,72
899,583.75739,72
900,583.77344,72
901,583.79004,72
902,583.81091,72
903,583.82318,72
904,583.84967,72
905,583.86737,72
906,583.87250,72
907,583.88843,72
908,583.90546,72
909,583.92139,72
910,583.93793,72
911,583.95471,72
912,583.97064,72
913,583.98706,72
914,584.00360,72
915,584.02002,72
916,584.03656,72
917,584.05328,72
918,584.06927,72
919,584.08612,72
920,584.10266,72
921,584.11890,72
922,584.13489,72
923,584.15344,72
924,584.17365,72
925,584.18433,72
926,584.20087,72
927,584.21771,72
928,584.24292,72
929,584.26459,72
930,584.26776,72
931,584.28302,72
932,584.29938,72
933,584.31567,72
934,584.33221,72
935,584.34869,72
936,584.36560,72
937,584.38153,72
938,584.39777,72
939,584.41479,72
940,584.43073,72
941,584.44702,72
942,584.46350,72
943,584.47992,72
944,584.49670,72
945,584.51294,72
946,584.52954,72
947,584.54596,72
948,584.56732,72
949,584.57855,72
950,584.59491,72
951,584.61145,72
952,584.62781,72
953,584.64423,72
954,584.66083,72
955,584.67706,72
956,584.69354,72
957,584.71002,72
958,584.72638,72
959,584.74280,72
960,584.75958,72
961,584.77563,72
962,584.79297,72
963,584.80890,72
964,584.82501,72
965,584.85382,72
966,584.90936,72
968,584.96014,36
970,584.96619,58
972,585.00140,72
974,585.00439,40
975,585.01062,40
976,585.02032,40
978,585.03290,44
980,585.04633,60
982,585.05273,-59
984,585.05573,-10
986,585.06171,-12
988,585.07153,-10
990,585.08777,0
992,585.10419,60
994,585.12085,4
996,585.13739,19
998,585.15375,73
1000,585.17017,68
1002,585.18658,71
1004,585.20276,-10
1006,585.21930,-12
1008,585.23682,-10
