,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN,EEG,task
0,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,51,happy
1,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,51,happy
2,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,51,happy
3,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,50,happy
4,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,50,happy
5,0.29490,0.16934,7.83348,1.14669,0,0.63348,0.16648,8.41400,1.14669,0,-0.03818,0.03733,0.65283,0.00301,1,0.02357,0.03767,0.64804,0.00318,1,1,0.00000,30,50,happy
6,0.38234,0.15970,11.07955,1.14669,1,0.71224,0.17745,11.53479,1.14669,1,-0.03818,0.03733,0.65283,0.00318,1,0.02357,0.03767,0.64804,0.00352,1,0,0.24211,31,49,happy
7,0.38435,0.15895,10.99738,1.07892,1,0.71283,0.17706,11.46381,1.01436,1,-0.03818,0.03733,0.65283,0.00320,1,0.02357,0.03767,0.64804,0.00342,1,0,0.00000,31,50,happy
8,0.38443,0.15825,10.80926,0.94660,1,0.71351,0.17667,11.06241,0.88204,1,-0.03818,0.03733,0.65283,0.00319,1,0.02357,0.03767,0.64804,0.00348,1,0,0.00000,31,49,happy
9,0.38449,0.15839,10.67260,0.81427,1,0.71351,0.17669,11.05455,0.74971,1,-0.03818,0.03733,0.65283,0.00326,1,0.02357,0.03767,0.64804,0.00347,1,0,0.00000,31,49,happy
