DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	1294087	21342.85938	0.29367	0.16968	11.09068	1.14669	1	0.63355	0.17072	11.66513	1.15745	1	-0.17712	0.17753	3.11450	0.00377	0	0.02500	0.03869	0.67539	0.00378	1	0	0.00000	29	START_RECORDING	
SMP	1294088	21342.87695	0.29366	0.16958	10.91485	1.15745	1	0.63346	0.17003	11.98099	1.16821	1	-0.17712	0.17753	3.11450	0.00373	0	0.02500	0.03869	0.67539	0.00372	1	0	0.00000	29	START_RECORDING	
SMP	1294089	21342.89258	0.29344	0.16943	11.16197	1.16821	1	0.63324	0.17003	11.23161	1.17897	1	-0.17712	0.17753	3.11450	0.00378	0	0.02500	0.03869	0.67539	0.00376	1	0	0.00000	29	START_RECORDING	
SMP	1294090	21342.92578	0.29337	0.17049	11.21350	1.17897	1	0.63311	0.17027	11.25860	1.17897	1	-0.17712	0.17753	3.11450	0.00356	0	0.02399	0.03709	0.64646	0.00371	1	0	0.00000	29	START_RECORDING	
SMP	1294091	21342.92773	0.29351	0.16895	10.85685	1.17897	1	0.63302	0.17012	10.93444	1.16821	1	-0.17712	0.17753	3.11450	0.00392	0	0.02399	0.03709	0.64646	0.00374	1	0	0.00000	29	START_RECORDING	
SMP	1294092	21342.94141	0.29355	0.17022	11.05701	1.16821	1	0.63297	0.16971	10.85597	1.15745	1	-0.17712	0.17753	3.11450	0.00349	0	0.02399	0.03709	0.64646	0.00370	1	0	0.00000	29	START_RECORDING	
SMP	1294093	21342.95703	0.29346	0.16966	11.19796	1.15745	1	0.63296	0.16855	10.77874	1.15745	1	-0.17635	0.17706	3.10117	0.00332	0	0.02504	0.03880	0.67633	0.00399	1	0	0.00000	29	START_RECORDING	
SMP	1294094	21342.97461	0.29336	0.16967	11.24289	1.15745	1	0.63290	0.16864	10.84628	1.16821	1	-0.17635	0.17706	3.10117	0.00331	0	0.02504	0.03880	0.67633	0.00389	1	0	0.00000	29	START_RECORDING	
SMP	1294095	21342.99219	0.29318	0.16971	11.02777	1.16821	1	0.63284	0.16869	11.06480	1.17897	1	-0.17635	0.17706	3.10117	0.00333	0	0.02504	0.03880	0.67633	0.00386	1	0	0.00000	29	START_RECORDING	
SMP	1294096	21343.00586	0.29323	0.17044	10.84255	1.17897	1	0.63296	0.16855	10.77874	1.18973	1	-0.17635	0.17706	3.10117	0.00356	0	0.02504	0.03880	0.67633	0.00399	1	0	0.00000	29	START_RECORDING	
