DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	1305449	21553.93359	0.31714	0.12484	11.56699	1.14654	0	0.65992	0.12183	10.72809	1.14654	0	-0.03321	0.04195	0.64669	0.00396	1	0.02917	0.04290	0.65376	0.00397	1	731	0.00000	36	START_RECORDING	
SMP	1305450	21553.95117	0.31714	0.12484	11.56699	1.14654	0	0.65992	0.12183	10.72809	1.14654	0	-0.03321	0.04195	0.64669	0.00396	1	0.02917	0.04290	0.65376	0.00397	1	731	0.00000	36	START_RECORDING	
SMP	1305451	21553.96680	0.31714	0.12484	11.56699	1.14654	0	0.65992	0.12183	10.72809	1.14654	0	-0.03321	0.04195	0.64669	0.00396	1	0.02917	0.04290	0.65376	0.00397	1	731	0.00000	36	START_RECORDING	
SMP	1305452	21553.98242	0.34652	0.13585	10.70250	1.14654	1	0.68684	0.13125	11.71122	1.14654	1	-0.03321	0.04195	0.64669	0.00310	1	0.02917	0.04290	0.65376	0.00317	1	0	0.24637	37	START_RECORDING	
SMP	1305453	21554.00000	0.34639	0.13664	11.06199	1.12063	1	0.68703	0.13119	11.06850	1.09594	1	-0.02806	0.03743	0.59062	0.00305	1	0.02917	0.04290	0.65376	0.00328	1	0	0.00000	37	START_RECORDING	
SMP	1305454	21554.01563	0.34639	0.13664	11.06199	1.07003	1	0.68695	0.13152	10.83144	1.04535	1	-0.02806	0.03743	0.59062	0.00305	1	0.02917	0.04290	0.65376	0.00324	1	0	0.00000	37	START_RECORDING	
SMP	1305455	21554.03320	0.34639	0.13664	11.06199	1.01944	1	0.68739	0.13171	11.29666	0.99475	1	-0.02806	0.03743	0.59062	0.00304	1	0.02917	0.04290	0.65376	0.00318	1	0	0.00000	37	START_RECORDING	
SMP	1305456	21554.04883	0.34674	0.13655	10.59093	0.96213	1	0.68740	0.13182	11.11571	0.93104	1	-0.02684	0.03577	0.56606	0.00315	1	0.02917	0.04290	0.65376	0.00323	1	0	0.00000	37	START_RECORDING	
SMP	1305457	21554.06641	0.34755	0.13651	10.66676	0.92432	1	0.68838	0.13125	11.08619	0.91792	1	-0.02684	0.03577	0.56606	0.00304	1	0.02917	0.04290	0.65376	0.00326	1	0	0.00000	37	START_RECORDING	
SMP	1305458	21554.08203	0.34773	0.13620	11.11284	0.91121	1	0.68879	0.13115	11.57271	0.90481	1	-0.02684	0.03577	0.56606	0.00300	1	0.02917	0.04290	0.65376	0.00330	1	0	0.00000	37	START_RECORDING	
SMP	1305459	21554.09766	0.34993	0.13561	10.74891	0.87733	1	0.68962	0.13070	11.05830	0.85114	1	-0.02684	0.03577	0.56606	0.00314	1	0.02917	0.04290	0.65376	0.00332	1	0	0.00000	37	START_RECORDING	
SMP	1305460	21554.11523	0.34967	0.13536	10.76648	0.83038	1	0.68959	0.13059	10.99491	0.81060	1	-0.02684	0.03577	0.56606	0.00328	1	0.02917	0.04290	0.65376	0.00337	1	0	0.00000	37	START_RECORDING	
SMP	1305461	21554.13086	0.34972	0.13573	10.94585	0.78984	1	0.68959	0.13059	10.99491	0.77006	1	-0.02684	0.03577	0.56606	0.00314	1	0.02917	0.04290	0.65376	0.00337	1	0	0.00000	37	START_RECORDING	
SMP	1305462	21554.14844	0.34944	0.13572	10.84411	0.74523	1	0.68944	0.13034	11.05758	0.72158	1	-0.02684	0.03577	0.56606	0.00310	1	0.02917	0.04290	0.65376	0.00342	1	0	0.00000	37	START_RECORDING	
SMP	1305463	21554.16406	0.34926	0.13497	11.06033	0.71752	1	0.68957	0.13028	11.35619	0.71365	1	-0.02684	0.03577	0.56606	0.00320	1	0.02917	0.04290	0.65376	0.00337	1	0	0.00000	37	START_RECORDING	
SMP	1305464	21554.18359	0.34921	0.13504	10.94648	0.70958	1	0.68945	0.13019	11.03646	0.70571	1	-0.02684	0.03577	0.56606	0.00320	1	0.02917	0.04290	0.65376	0.00345	1	0	0.00000	37	START_RECORDING	
SMP	1305465	21554.19922	0.34872	0.13506	10.99309	0.70165	1	0.68914	0.12964	11.03181	0.69778	1	-0.02684	0.03577	0.56606	0.00314	1	0.02917	0.04290	0.65376	0.00338	1	0	0.00000	37	START_RECORDING	
SMP	1305466	21554.21484	0.34857	0.13467	11.03480	0.69778	1	0.68918	0.12931	11.08139	0.69778	1	-0.02684	0.03577	0.56606	0.00319	1	0.02917	0.04290	0.65376	0.00344	1	0	0.00000	37	START_RECORDING	
SMP	1305467	21554.23047	0.34880	0.13490	10.96268	0.69778	1	0.68890	0.12932	11.37962	0.69778	1	-0.02684	0.03577	0.56606	0.00332	1	0.02917	0.04290	0.65376	0.00347	1	0	0.00000	37	START_RECORDING	
SMP	1305468	21554.24609	0.34825	0.13407	10.98700	0.69778	1	0.68874	0.12881	11.40443	0.69778	1	-0.02684	0.03577	0.56606	0.00320	1	0.02917	0.04290	0.65376	0.00340	1	0	0.00000	37	START_RECORDING	
SMP	1305469	21554.26367	0.34817	0.13399	11.00499	0.69778	1	0.68829	0.12810	11.24797	0.69778	1	-0.02684	0.03577	0.56606	0.00324	1	0.02917	0.04290	0.65376	0.00341	1	0	0.00000	37	START_RECORDING	
SMP	1305470	21554.28125	0.34795	0.13407	11.45394	0.69778	1	0.68811	0.12826	11.05758	0.69778	1	-0.02684	0.03577	0.56606	0.00322	1	0.02917	0.04290	0.65376	0.00342	1	0	0.00000	37	START_RECORDING	
SMP	1305471	21554.30273	0.34765	0.13428	11.09653	0.69778	1	0.68812	0.12831	11.08847	0.69778	1	-0.02684	0.03577	0.56606	0.00320	1	0.02917	0.04290	0.65376	0.00348	1	0	0.00000	37	START_RECORDING	
SMP	1305472	21554.31250	0.34711	0.13422	10.99904	0.69778	1	0.68753	0.12796	10.96091	0.69778	1	-0.02684	0.03577	0.56606	0.00318	1	0.02917	0.04290	0.65376	0.00332	1	0	0.00000	37	START_RECORDING	
SMP	1305473	21554.33008	0.34702	0.13407	10.98622	0.69778	1	0.68714	0.12752	11.09486	0.69778	1	-0.02684	0.03577	0.56606	0.00321	1	0.02917	0.04290	0.65376	0.00342	1	0	0.00000	37	START_RECORDING	
SMP	1305474	21554.34570	0.34554	0.13379	10.81088	0.79528	1	0.68632	0.12754	11.21274	0.88816	1	-0.02684	0.03577	0.56606	0.00313	1	0.02917	0.04290	0.65376	0.00332	1	0	0.00000	37	START_RECORDING	
SMP	1305475	21554.36133	0.34414	0.13337	10.57011	0.98566	1	0.68279	0.12539	10.73465	1.07855	1	-0.02684	0.03577	0.56606	0.00326	1	0.02917	0.04290	0.65376	0.00373	1	0	0.00000	37	START_RECORDING	
SMP	1305476	21554.37891	0.34499	0.13233	9.21207	1.17604	1	0.68378	0.12744	7.62480	1.26893	1	-0.02684	0.03577	0.56606	0.00287	1	0.02917	0.04290	0.65376	0.00263	1	0	0.00000	37	START_RECORDING	
SMP	1305477	21554.39648	0.34499	0.13233	9.21207	1.69344	0	0.28982	0.17097	10.63038	2.09788	1	-0.02684	0.03577	0.56606	0.00287	1	-0.06716	0.06441	1.22257	0.00469	0	0	0.00000	37	START_RECORDING	
SMP	1305478	21554.41211	0.34499	0.13233	9.21207	2.42490	0	0.28982	0.17097	10.63038	2.73646	0	-0.02684	0.03577	0.56606	0.00287	1	-0.06716	0.06441	1.22257	0.00469	0	0	0.00000	37	START_RECORDING	
SMP	1305479	21554.43164	0.34499	0.13233	9.21207	3.06348	0	0.28982	0.17097	10.63038	3.37503	0	-0.02684	0.03577	0.56606	0.00287	1	-0.06716	0.06441	1.22257	0.00469	0	0	0.00000	37	START_RECORDING	
