	DATATYPE	CNT	TIME	LPCX	LPCY	LPD	LPS	LPV	RPCX
1	SMP	3044	55.52422	0.56619	0.48659	11.54351	1.14683	1	0.85490
2	SMP	3045	55.54046	0.56615	0.48638	11.44779	1.14683	1	0.85483
3	SMP	3046	55.55647	0.56615	0.48638	11.44779	1.14683	1	0.85483
4	SMP	3047	55.57299	0.56598	0.48684	11.07421	1.14683	1	0.85483
5	SMP	3048	55.58952	0.56619	0.48659	11.54351	1.14683	1	0.85503
6	SMP	3049	55.60696	0.56626	0.48694	11.25399	1.14683	1	0.85495
7	SMP	3050	55.62228	0.56666	0.48690	10.88370	1.14683	1	0.85508
8	SMP	3051	55.63925	0.56676	0.48695	11.12661	1.14683	1	0.85540
9	SMP	3052	55.65560	0.56688	0.48682	11.45855	1.14683	1	0.85540
10	SMP	3053	55.67151	0.56732	0.48704	11.05919	1.14683	1	0.85536
11	SMP	3054	55.68812	0.56732	0.48704	11.05919	1.14683	1	0.85530
12	SMP	3055	55.70440	0.56732	0.48704	11.05919	1.14683	1	0.85545
13	SMP	3056	55.72134	0.56743	0.48726	11.00691	1.14683	1	0.85536
14	SMP	3057	55.73728	0.56731	0.48701	11.08187	1.14683	1	0.85533
15	SMP	3058	55.75515	0.56739	0.48741	11.12697	1.14683	1	0.85551
16	SMP	3059	55.77061	0.56724	0.48768	11.17998	1.14683	1	0.85517
17	SMP	3060	55.78667	0.56738	0.48787	11.31486	1.14683	1	0.85533
18	SMP	3061	55.80545	0.56699	0.48796	11.05919	1.14683	1	0.85529
19	SMP	3062	55.81962	0.56709	0.48821	10.83031	1.14683	1	0.85488
20	SMP	3063	55.83745	0.56699	0.48796	11.05919	1.14683	1	0.85471
21	SMP	3064	55.86738	0.56699	0.48796	11.05919	1.14683	1	0.85470
22	SMP	3065	55.89756	0.56689	0.48786	10.96508	1.14683	1	0.85460
23	SMP	3066	55.92654	0.56684	0.48783	10.85086	1.14683	1	0.85409
24	SMP	3067	55.94712	0.56663	0.48788	11.24334	1.14683	1	0.85395
25	SMP	3068	55.95103	0.56633	0.48765	10.94647	1.14683	1	0.85382
26	SMP	3069	55.95403	0.56628	0.48771	11.12318	1.14683	1	0.85382
27	SMP	3070	55.96744	0.56602	0.48725	11.08386	1.14683	1	0.85306
28	SMP	3071	55.98384	0.56570	0.48721	10.99057	1.14683	1	0.85310
29	SMP	3072	56.01550	0.56554	0.48743	11.20919	1.14683	1	0.85295
30	SMP	3073	56.02417	0.56553	0.48710	11.18600	1.14683	1	0.85267
31	SMP	3074	56.03298	0.56649	0.48685	11.47152	1.14683	1	0.85395
32	SMP	3075	56.06845	0.56914	0.48662	11.22326	1.14683	1	0.85440
33	SMP	3076	56.08281	0.57304	0.48709	10.51827	1.14683	1	0.85844
34	SMP	3077	56.08512	0.57358	0.48702	11.04285	1.14683	1	0.85903
35	SMP	3078	56.10054	0.57485	0.48714	10.97644	1.14683	1	0.85900
36	SMP	3079	56.11515	0.57508	0.48708	10.50527	1.14683	1	0.85948
37	SMP	3080	56.13158	0.57510	0.48787	10.44211	1.14683	1	0.85958
38	SMP	3081	56.14968	0.57521	0.48819	10.35995	1.14683	1	0.85964
39	SMP	3082	56.16558	0.57541	0.48847	10.23590	1.14683	1	0.85988
40	SMP	3083	56.18102	0.57556	0.48843	10.33572	1.14683	1	0.85994
41	SMP	3084	56.20127	0.57559	0.48853	10.46447	1.14683	1	0.86011
42	SMP	3085	56.24327	0.57557	0.48870	10.17827	1.14683	1	0.86034
43	SMP	3086	56.26431	0.57554	0.48881	10.26423	1.14683	1	0.86034
44	SMP	3087	56.27213	0.57555	0.48910	10.18870	1.14683	1	0.86034
45	SMP	3088	56.33806	0.57553	0.48929	10.22688	1.14683	1	0.86051
46	SMP	3089	56.37426	0.57570	0.48961	10.05392	1.14683	1	0.86055
47	SMP	3090	56.38071	0.57573	0.48962	10.11465	1.14683	1	0.86055
48	SMP	3091	56.38401	0.57573	0.48960	10.12238	1.14683	1	0.86077
49	SMP	3092	56.38903	0.57599	0.48994	10.43055	1.14683	1	0.86092
50	SMP	3093	56.39435	0.57621	0.49024	10.22670	1.14683	1	0.86099
51	SMP	3094	56.40620	0.57630	0.49010	9.93371	1.14683	1	0.86140
52	SMP	3095	56.41592	0.57630	0.49015	10.01835	1.14683	1	0.86127
53	SMP	3096	56.48400	0.57653	0.48981	10.52393	1.14683	1	0.86127
54	SMP	3097	56.51471	0.57644	0.48937	10.33288	1.14683	1	0.86108
55	SMP	3098	56.55314	0.57648	0.48913	10.56629	1.14683	1	0.86113
56	SMP	3099	56.58315	0.57596	0.48932	10.19477	1.14683	1	0.86093
57	SMP	3100	56.58714	0.57601	0.48926	9.94654	1.14683	1	0.86097
58	SMP	3101	56.58879	0.57587	0.48964	10.18021	1.14683	1	0.86078
59	SMP	3102	56.59231	0.57573	0.48970	10.10174	1.14683	1	0.86064
