DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	55146	956.29138	0.28792	0.75957	11.02176	0.86549	1	0.67459	0.77465	12.83402	0.87189	1	-0.03074	-0.02738	0.54485	0.00292	1	0.03005	-0.03061	0.58834	0.00397	1	0	0.00000	20	START_RECORDING	
SMP	55147	956.32129	0.28814	0.75942	10.94077	0.86255	1	0.67583	0.77534	12.72312	0.85615	1	-0.02917	-0.02602	0.51886	0.00290	1	0.02948	-0.02987	0.57398	0.00393	1	0	0.00000	20	START_RECORDING	
SMP	55148	956.33008	0.28847	0.75915	11.32232	0.84681	1	0.67594	0.77482	12.60485	0.84041	1	-0.02917	-0.02602	0.51886	0.00288	1	0.02948	-0.02987	0.57398	0.00394	1	0	0.00000	20	START_RECORDING	
SMP	55149	956.36414	0.28863	0.75900	11.26631	0.83106	1	0.67580	0.77437	12.59054	0.82466	1	-0.02917	-0.02602	0.51886	0.00294	1	0.02948	-0.02987	0.57398	0.00387	1	0	0.00000	20	START_RECORDING	
SMP	55150	956.36768	0.28923	0.75895	11.49603	0.81977	1	0.67609	0.77376	12.40244	0.81337	1	-0.02940	-0.02636	0.52547	0.00293	1	0.02950	-0.02967	0.57023	0.00395	1	0	0.00000	20	START_RECORDING	
SMP	55151	956.38269	0.28927	0.75878	11.28102	0.81782	1	0.67658	0.77522	12.89850	0.81782	1	-0.02940	-0.02636	0.52547	0.00295	1	0.02950	-0.02967	0.57023	0.00400	1	0	0.00000	20	START_RECORDING	
SMP	55152	956.41479	0.28939	0.75883	11.63248	0.82227	1	0.67672	0.77483	12.88571	0.82227	1	-0.02940	-0.02636	0.52547	0.00295	1	0.02950	-0.02967	0.57023	0.00396	1	0	0.00000	20	START_RECORDING	
SMP	55153	956.41931	0.29006	0.75833	11.39128	0.83161	1	0.67736	0.77457	13.12633	0.83161	1	-0.03042	-0.02731	0.54648	0.00298	1	0.02997	-0.03003	0.57719	0.00392	1	0	0.00000	20	START_RECORDING	
SMP	55154	956.42865	0.29008	0.75818	11.30298	0.83651	1	0.67729	0.77490	12.85861	0.83651	1	-0.03042	-0.02731	0.54648	0.00298	1	0.02997	-0.03003	0.57719	0.00405	1	0	0.00000	20	START_RECORDING	
SMP	55155	956.45032	0.29008	0.75818	11.30298	0.84140	1	0.67719	0.77462	12.81906	0.84140	1	-0.03042	-0.02731	0.54648	0.00298	1	0.02997	-0.03003	0.57719	0.00400	1	0	0.00000	20	START_RECORDING	
