DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	84074	1517.17249	0.25827	0.60159	12.03039	0.99653	1	0.62469	0.60962	11.29478	1.00469	1	-0.17918	-0.05692	2.73505	0.00368	0	0.02239	-0.01407	0.63039	0.00356	1	0	0.00000	17	START_RECORDING	
SMP	84075	1517.17847	0.25872	0.60150	11.84899	1.01225	1	0.62526	0.61013	11.33697	1.02041	1	-0.17918	-0.05692	2.73505	0.00365	0	0.02239	-0.01407	0.63039	0.00383	1	0	0.00000	17	START_RECORDING	
SMP	84076	1517.21301	0.26585	0.60287	12.71921	1.02041	1	0.63113	0.61176	12.05177	1.01321	1	-0.03841	-0.01235	0.58800	0.00350	1	0.02181	-0.01332	0.59210	0.00350	1	0	0.00000	17	START_RECORDING	
SMP	84077	1517.22290	0.26692	0.60299	11.84959	1.00565	1	0.63201	0.61174	11.86725	0.99029	1	-0.03841	-0.01235	0.58800	0.00353	1	0.02181	-0.01332	0.59210	0.00348	1	0	0.00000	17	START_RECORDING	
SMP	84078	1517.22925	0.26657	0.60234	11.58293	0.98273	1	0.63249	0.61153	11.38694	0.96737	1	-0.03841	-0.01235	0.58800	0.00367	1	0.02181	-0.01332	0.59210	0.00342	1	0	0.00000	17	START_RECORDING	
SMP	84079	1517.25195	0.26745	0.60321	11.75698	0.96737	1	0.63262	0.61233	11.65584	0.95921	1	-0.03995	-0.01292	0.61253	0.00362	1	0.02345	-0.01445	0.63171	0.00336	1	0	0.00000	17	START_RECORDING	
SMP	84080	1517.25916	0.26752	0.60346	11.75826	0.96677	1	0.63286	0.61236	11.34458	0.97397	1	-0.03995	-0.01292	0.61253	0.00369	1	0.02345	-0.01445	0.63171	0.00374	1	0	0.00000	17	START_RECORDING	
SMP	84081	1517.27686	0.26760	0.60334	11.86847	0.98153	1	0.63221	0.61289	11.77448	0.98873	1	-0.03995	-0.01292	0.61253	0.00369	1	0.02345	-0.01445	0.63171	0.00355	1	0	0.00000	17	START_RECORDING	
SMP	84082	1517.28748	0.26715	0.60319	11.51233	0.99628	1	0.63240	0.61233	11.74475	1.00348	1	-0.03971	-0.01281	0.60710	0.00360	1	0.02229	-0.01375	0.60363	0.00366	1	0	0.00000	17	START_RECORDING	
SMP	84083	1517.30774	0.26715	0.60319	11.51233	1.00348	0	0.63202	0.61339	10.05228	1.00348	1	-0.03971	-0.01281	0.60710	0.00360	1	0.02229	-0.01375	0.60363	0.00329	1	0	0.00000	17	START_RECORDING	
