DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	52198	897.22687	0.36621	0.62324	11.20902	1.07036	1	0.71090	0.59543	12.23989	1.07036	1	-0.02316	-0.01550	0.62879	0.00339	1	0.03755	-0.01250	0.62897	0.00398	1	0	0.00000	27	START_RECORDING	
SMP	52199	897.24323	0.36619	0.62375	11.51217	1.08014	1	0.71088	0.59542	12.41591	1.08947	1	-0.02405	-0.01614	0.65452	0.00340	1	0.03912	-0.01300	0.65420	0.00392	1	0	0.00000	27	START_RECORDING	
SMP	52200	897.25964	0.36623	0.62342	11.26091	1.09926	1	0.71089	0.59652	12.40740	1.10858	1	-0.02405	-0.01614	0.65452	0.00339	1	0.03912	-0.01300	0.65420	0.00370	1	0	0.00000	27	START_RECORDING	
SMP	52201	897.27612	0.36620	0.62317	11.17542	1.11837	1	0.71093	0.59662	12.33695	1.12770	1	-0.02405	-0.01614	0.65452	0.00333	1	0.03912	-0.01300	0.65420	0.00376	1	0	0.00000	27	START_RECORDING	
SMP	52202	897.29248	0.36593	0.62392	11.14482	1.12770	1	0.71100	0.59661	12.44483	1.13702	1	-0.02316	-0.01550	0.62879	0.00332	1	0.03987	-0.01332	0.66681	0.00373	1	0	0.00000	27	START_RECORDING	
SMP	52203	897.30902	0.36599	0.62476	11.16908	1.12723	1	0.71102	0.59653	12.21492	1.12723	1	-0.02316	-0.01550	0.62879	0.00353	1	0.03987	-0.01332	0.66681	0.00375	1	0	0.00000	27	START_RECORDING	
SMP	52204	897.32550	0.36600	0.62498	11.16727	1.11745	1	0.71106	0.59653	12.34339	1.11745	1	-0.02316	-0.01550	0.62879	0.00359	1	0.03987	-0.01332	0.66681	0.00374	1	0	0.00000	27	START_RECORDING	
SMP	52205	897.34186	0.36617	0.62483	11.22366	1.10766	1	0.71077	0.59672	12.40066	1.09833	1	-0.02312	-0.01561	0.63081	0.00356	1	0.03743	-0.01254	0.62504	0.00374	1	0	0.00000	27	START_RECORDING	
SMP	52206	897.35840	0.36727	0.62423	11.11038	1.09833	1	0.71200	0.59743	12.35563	1.08901	1	-0.02312	-0.01561	0.63081	0.00360	1	0.03743	-0.01254	0.62504	0.00360	1	0	0.00000	27	START_RECORDING	
SMP	52207	897.37476	0.36742	0.62432	11.36170	1.08901	1	0.71202	0.59732	12.32326	1.07968	1	-0.02312	-0.01561	0.63081	0.00366	1	0.03743	-0.01254	0.62504	0.00358	1	0	0.00000	27	START_RECORDING	
SMP	52208	897.39111	0.36824	0.62431	11.25401	1.07968	1	0.71275	0.59722	11.83642	1.07968	1	-0.02289	-0.01562	0.63119	0.00363	1	0.03859	-0.01287	0.64142	0.00355	1	0	0.00000	27	START_RECORDING	
SMP	52209	897.40778	0.36806	0.62437	10.80556	1.07968	1	0.71320	0.59731	12.25058	1.08901	1	-0.02289	-0.01562	0.63119	0.00360	1	0.03859	-0.01287	0.64142	0.00354	1	0	0.00000	27	START_RECORDING	
SMP	52210	897.42401	0.36827	0.62417	11.04993	1.08901	1	0.71337	0.59771	12.42256	1.09833	1	-0.02289	-0.01562	0.63119	0.00359	1	0.03859	-0.01287	0.64142	0.00357	1	0	0.00000	27	START_RECORDING	
SMP	52211	897.44037	0.36854	0.62379	11.46554	1.09833	1	0.71338	0.59775	12.40367	1.09833	1	-0.02289	-0.01562	0.63119	0.00361	1	0.03765	-0.01259	0.62471	0.00355	1	0	0.00000	27	START_RECORDING	
SMP	52212	897.45673	0.36912	0.62429	11.59649	1.09833	1	0.71359	0.59753	12.68493	1.08901	1	-0.02289	-0.01562	0.63119	0.00367	1	0.03765	-0.01259	0.62471	0.00352	1	0	0.00000	27	START_RECORDING	
SMP	52213	897.47327	0.36900	0.62400	11.64456	1.08901	1	0.71355	0.59695	12.50108	1.07968	1	-0.02289	-0.01562	0.63119	0.00368	1	0.03765	-0.01259	0.62471	0.00353	1	0	0.00000	27	START_RECORDING	
SMP	52214	897.48962	0.36871	0.62360	11.35964	1.08947	1	0.71371	0.59735	13.15273	1.08014	1	-0.02364	-0.01618	0.65358	0.00368	1	0.03770	-0.01257	0.62362	0.00351	1	0	0.00000	27	START_RECORDING	
SMP	52215	897.50616	0.36869	0.62370	11.36242	1.08993	1	0.71309	0.59799	12.66063	1.08993	1	-0.02364	-0.01618	0.65358	0.00369	1	0.03770	-0.01257	0.62362	0.00375	1	0	0.00000	27	START_RECORDING	
SMP	52216	897.52252	0.36873	0.62378	11.41680	1.09972	1	0.71341	0.59774	13.11311	1.09972	1	-0.02364	-0.01618	0.65358	0.00368	1	0.03770	-0.01257	0.62362	0.00376	1	0	0.00000	27	START_RECORDING	
SMP	52217	897.53900	0.36873	0.62378	11.41680	1.09972	1	0.71326	0.59764	13.31610	1.10905	1	-0.02276	-0.01561	0.63082	0.00368	1	0.03905	-0.01306	0.64492	0.00376	1	0	0.00000	27	START_RECORDING	
SMP	52218	897.55536	0.36878	0.62328	11.26753	1.09926	1	0.71401	0.59745	13.10412	1.10858	1	-0.02276	-0.01561	0.63082	0.00350	1	0.03905	-0.01306	0.64492	0.00355	1	0	0.00000	27	START_RECORDING	
SMP	52219	897.57178	0.36963	0.62389	11.22238	1.09880	1	0.71463	0.59740	12.59355	1.10812	1	-0.02276	-0.01561	0.63082	0.00351	1	0.03905	-0.01306	0.64492	0.00355	1	0	0.00000	27	START_RECORDING	
SMP	52220	897.58826	0.37050	0.62387	11.68864	1.10812	1	0.71523	0.59738	12.80396	1.10812	1	-0.02315	-0.01600	0.64651	0.00339	1	0.03833	-0.01280	0.63203	0.00360	1	0	0.00000	27	START_RECORDING	
SMP	52221	897.60480	0.37095	0.62376	10.48328	1.11791	1	0.71540	0.59771	13.23952	1.10858	1	-0.02315	-0.01600	0.64651	0.00352	1	0.03833	-0.01280	0.63203	0.00360	1	0	0.00000	27	START_RECORDING	
SMP	52222	897.62103	0.37078	0.62403	10.85491	1.11837	1	0.71531	0.59763	13.01304	1.10905	1	-0.02315	-0.01600	0.64651	0.00343	1	0.03833	-0.01280	0.63203	0.00360	1	0	0.00000	27	START_RECORDING	
SMP	52223	897.63763	0.37043	0.62411	10.46484	1.11883	1	0.71551	0.59745	12.88115	1.10951	1	-0.02315	-0.01600	0.64651	0.00347	1	0.03833	-0.01280	0.63203	0.00351	1	0	0.00000	27	START_RECORDING	
