DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	13016	218.18051	0.31407	0.31801	12.11528	0.98187	1	0.68162	0.32185	12.54913	0.97467	1	-0.03244	0.01835	0.61156	0.00388	1	0.02921	0.01717	0.58701	0.00419	1	0	0.00000	35	START_RECORDING	
SMP	13017	218.19688	0.31448	0.31744	12.21613	0.97467	1	0.68184	0.32195	12.60799	0.97467	1	-0.03244	0.01835	0.61156	0.00391	1	0.02921	0.01717	0.58701	0.00405	1	0	0.00000	35	START_RECORDING	
SMP	13018	218.21339	0.31458	0.31689	12.27073	0.97467	1	0.68160	0.32178	12.69897	0.97467	1	-0.03244	0.01835	0.61156	0.00369	1	0.02921	0.01717	0.58701	0.00414	1	0	0.00000	35	START_RECORDING	
SMP	13019	218.22964	0.31548	0.31556	11.71961	0.96711	1	0.68495	0.31745	11.06098	0.96711	1	-0.03120	0.01792	0.59346	0.00380	1	0.02980	0.01743	0.59211	0.00314	1	0	0.00000	35	START_RECORDING	
SMP	13020	218.24626	0.31625	0.31549	11.81635	0.95956	1	0.68430	0.32195	12.43865	0.95956	1	-0.03120	0.01792	0.59346	0.00412	1	0.02980	0.01743	0.59211	0.00411	1	0	0.00000	35	START_RECORDING	
SMP	13021	218.26251	0.31598	0.31604	11.96067	0.95200	1	0.68444	0.32099	12.41427	0.95200	1	-0.03120	0.01792	0.59346	0.00396	1	0.02980	0.01743	0.59211	0.00388	1	0	0.00000	35	START_RECORDING	
SMP	13022	218.27927	0.31730	0.31586	11.91029	0.94444	1	0.68565	0.31950	12.42594	0.94444	1	-0.03088	0.01786	0.59165	0.00393	1	0.03025	0.01750	0.59452	0.00446	1	0	0.00000	35	START_RECORDING	
SMP	13023	218.29539	0.31809	0.31615	12.20759	0.94444	1	0.68583	0.32106	12.38422	0.94444	1	-0.03088	0.01786	0.59165	0.00391	1	0.03025	0.01750	0.59452	0.00411	1	0	0.00000	35	START_RECORDING	
SMP	13024	218.31239	0.31831	0.31566	12.03598	0.94444	1	0.68625	0.32086	12.34974	0.94444	1	-0.03088	0.01786	0.59165	0.00401	1	0.03025	0.01750	0.59452	0.00423	1	0	0.00000	35	START_RECORDING	
SMP	13025	218.32838	0.31870	0.31528	11.28708	0.95200	1	0.68729	0.32326	12.64629	0.95200	1	-0.03150	0.01838	0.60884	0.00400	1	0.03048	0.01739	0.59463	0.00439	1	0	0.00000	35	START_RECORDING	
SMP	13026	218.34517	0.31923	0.31605	12.03852	0.95956	1	0.68671	0.32185	12.30079	0.95956	1	-0.03150	0.01838	0.60884	0.00384	1	0.03048	0.01739	0.59463	0.00419	1	0	0.00000	35	START_RECORDING	
SMP	13027	218.36115	0.31950	0.31589	11.71670	0.96711	1	0.68715	0.32181	12.70966	0.96711	1	-0.03150	0.01838	0.60884	0.00388	1	0.03048	0.01739	0.59463	0.00410	1	0	0.00000	35	START_RECORDING	
SMP	13028	218.37762	0.31985	0.31675	11.97587	0.96711	1	0.68817	0.32272	11.83520	0.96711	1	-0.03019	0.01771	0.58678	0.00381	1	0.03069	0.01739	0.59641	0.00418	1	0	0.00000	35	START_RECORDING	
SMP	13029	218.39401	0.32019	0.31624	11.57258	0.95956	1	0.68919	0.31866	11.08018	0.95956	1	-0.03019	0.01771	0.58678	0.00372	1	0.03069	0.01739	0.59641	0.00297	1	0	0.00000	35	START_RECORDING	
SMP	13030	218.41052	0.32010	0.31611	11.51045	0.95200	1	0.68917	0.31855	11.23486	0.95200	1	-0.03019	0.01771	0.58678	0.00368	1	0.03069	0.01739	0.59641	0.00295	1	0	0.00000	35	START_RECORDING	
SMP	13031	218.42686	0.32112	0.31570	11.45973	0.95200	1	0.68870	0.32381	12.58769	0.95200	1	-0.03087	0.01821	0.60336	0.00395	1	0.03024	0.01707	0.58558	0.00412	1	0	0.00000	35	START_RECORDING	
