DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	2882	49.05030	0.51210	0.41313	13.85394	1.14678	1	0.85027	0.39324	14.99485	1.14678	1	0.00366	0.01111	0.65125	0.00383	1	0.06556	0.01358	0.65254	0.00418	1	0	0.00000	17	START_RECORDING	
SMP	2883	49.06746	0.51202	0.41330	13.80715	1.14678	1	0.85020	0.39340	14.72131	1.14678	1	0.00366	0.01111	0.65125	0.00390	1	0.06556	0.01358	0.65254	0.00419	1	0	0.00000	17	START_RECORDING	
SMP	2884	49.08327	0.51151	0.41312	13.97617	1.14678	1	0.84967	0.39295	14.77583	1.14678	1	0.00366	0.01111	0.65125	0.00395	1	0.06556	0.01358	0.65254	0.00426	1	0	0.00000	17	START_RECORDING	
SMP	2885	49.09962	0.51144	0.41325	14.04196	1.14678	1	0.84946	0.39339	14.87234	1.14678	1	0.00366	0.01111	0.65125	0.00400	1	0.06556	0.01358	0.65254	0.00420	1	0	0.00000	17	START_RECORDING	
SMP	2886	49.11602	0.51105	0.41321	13.60761	1.14678	1	0.84925	0.39356	14.70737	1.14678	1	0.00366	0.01111	0.65125	0.00402	1	0.06556	0.01358	0.65254	0.00429	1	0	0.00000	17	START_RECORDING	
SMP	2887	49.13232	0.51069	0.41339	13.71966	1.14678	1	0.84890	0.39309	15.34459	1.14678	1	0.00366	0.01111	0.65125	0.00391	1	0.06556	0.01358	0.65254	0.00413	1	0	0.00000	17	START_RECORDING	
SMP	2888	49.14892	0.51060	0.41343	14.04875	1.14678	1	0.84871	0.39297	14.64917	1.14678	1	0.00366	0.01111	0.65125	0.00393	1	0.06556	0.01358	0.65254	0.00437	1	0	0.00000	17	START_RECORDING	
SMP	2889	49.16526	0.51030	0.41341	14.26707	1.14678	1	0.84852	0.39279	14.84369	1.14678	1	0.00366	0.01111	0.65125	0.00403	1	0.06556	0.01358	0.65254	0.00440	1	0	0.00000	17	START_RECORDING	
SMP	2890	49.18163	0.50980	0.41350	13.84420	1.14678	1	0.84811	0.39297	14.78498	1.14678	1	0.00366	0.01111	0.65125	0.00419	1	0.06556	0.01358	0.65254	0.00422	1	0	0.00000	17	START_RECORDING	
SMP	2891	49.19809	0.50973	0.41368	13.98438	1.14678	1	0.84799	0.39291	15.04973	1.14678	1	0.00366	0.01111	0.65125	0.00406	1	0.06556	0.01358	0.65254	0.00425	1	0	0.00000	17	START_RECORDING	
SMP	2892	49.21453	0.50997	0.41355	13.99901	1.14678	1	0.84788	0.39292	15.03784	1.14678	1	0.00366	0.01111	0.65125	0.00403	1	0.06556	0.01358	0.65254	0.00429	1	0	0.00000	17	START_RECORDING	
SMP	2893	49.23092	0.50981	0.41355	14.04842	1.14678	1	0.84771	0.39282	14.79557	1.14678	1	0.00366	0.01111	0.65125	0.00394	1	0.06556	0.01358	0.65254	0.00423	1	0	0.00000	17	START_RECORDING	
SMP	2894	49.24738	0.50983	0.41357	14.08313	1.14678	1	0.84749	0.39265	14.80666	1.14678	1	0.00366	0.01111	0.65125	0.00394	1	0.06556	0.01358	0.65254	0.00434	1	0	0.00000	17	START_RECORDING	
SMP	2895	49.26399	0.50948	0.41387	14.02134	1.14678	1	0.84738	0.39281	14.90216	1.14678	1	0.00366	0.01111	0.65125	0.00415	1	0.06556	0.01358	0.65254	0.00429	1	0	0.00000	17	START_RECORDING	
SMP	2896	49.28093	0.50938	0.41396	14.21510	1.14678	1	0.84740	0.39272	14.78898	1.14678	1	0.00366	0.01111	0.65125	0.00396	1	0.06556	0.01358	0.65254	0.00430	1	0	0.00000	17	START_RECORDING	
SMP	2897	49.30007	0.50926	0.41370	14.39308	1.14678	1	0.84738	0.39281	14.90216	1.14678	1	0.00366	0.01111	0.65125	0.00397	1	0.06556	0.01358	0.65254	0.00429	1	0	0.00000	17	START_RECORDING	
SMP	2898	49.31692	0.50927	0.41386	14.34976	1.14678	1	0.84749	0.39287	15.02249	1.14678	1	0.00366	0.01111	0.65125	0.00398	1	0.06556	0.01358	0.65254	0.00433	1	0	0.00000	17	START_RECORDING	
SMP	2899	49.33112	0.50933	0.41389	14.31723	1.14678	1	0.84766	0.39299	15.09283	1.14678	1	0.00366	0.01111	0.65125	0.00398	1	0.06556	0.01358	0.65254	0.00423	1	0	0.00000	17	START_RECORDING	
SMP	2900	49.34615	0.50951	0.41371	14.14126	1.14678	1	0.84759	0.39305	15.14044	1.14678	1	0.00366	0.01111	0.65125	0.00402	1	0.06556	0.01358	0.65254	0.00419	1	0	0.00000	17	START_RECORDING	
SMP	2901	49.36235	0.50945	0.41380	14.02205	1.14678	1	0.84780	0.39307	15.13878	1.14678	1	0.00366	0.01111	0.65125	0.00413	1	0.06556	0.01358	0.65254	0.00428	1	0	0.00000	17	START_RECORDING	
SMP	2902	49.37885	0.50979	0.41310	14.68504	1.14678	1	0.84791	0.39316	15.08510	1.14678	1	0.00366	0.01111	0.65125	0.00386	1	0.06556	0.01358	0.65254	0.00428	1	0	0.00000	17	START_RECORDING	
SMP	2903	49.41130	0.50972	0.41321	14.66771	1.14678	1	0.84789	0.39357	14.63403	1.14678	1	0.00366	0.01111	0.65125	0.00389	1	0.06556	0.01358	0.65254	0.00432	1	0	0.00000	17	START_RECORDING	
SMP	2904	49.42092	0.50981	0.41307	14.78858	1.14678	1	0.84791	0.39390	14.20446	1.14678	1	0.00366	0.01111	0.65125	0.00386	1	0.06556	0.01358	0.65254	0.00435	1	0	0.00000	17	START_RECORDING	
SMP	2905	49.42821	0.50985	0.41331	14.53519	1.14678	1	0.84790	0.39417	14.47004	1.14678	1	0.00366	0.01111	0.65125	0.00383	1	0.06556	0.01358	0.65254	0.00431	1	0	0.00000	17	START_RECORDING	
SMP	2906	49.45769	0.50992	0.41285	14.55912	1.14678	1	0.84787	0.39424	14.70858	1.14678	1	0.00366	0.01111	0.65125	0.00406	1	0.06556	0.01358	0.65254	0.00432	1	0	0.00000	17	START_RECORDING	
SMP	2907	49.46511	0.50981	0.41311	14.54302	1.14678	1	0.84788	0.39422	14.57303	1.14678	1	0.00366	0.01111	0.65125	0.00408	1	0.06556	0.01358	0.65254	0.00432	1	0	0.00000	17	START_RECORDING	
