DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	31075	526.48096	0.35372	0.44237	11.41641	0.98116	1	0.71832	0.46279	11.23223	0.97396	1	-0.02508	0.00465	0.60544	0.00364	1	0.03568	0.00233	0.59207	0.00449	1	0	0.00000	25	START_RECORDING	
SMP	31076	526.49731	0.35459	0.44118	11.29471	0.98152	1	0.71787	0.46344	11.55711	0.97432	1	-0.02508	0.00465	0.60544	0.00384	1	0.03568	0.00233	0.59207	0.00388	1	0	0.00000	25	START_RECORDING	
SMP	31077	526.51379	0.35450	0.43961	11.64883	0.98187	1	0.71822	0.46015	11.98945	0.98187	1	-0.02508	0.00488	0.60544	0.00418	1	0.03673	0.00263	0.61044	0.00403	1	0	0.00000	25	START_RECORDING	
SMP	31078	526.53021	0.35515	0.43824	11.67095	0.98187	1	0.71833	0.46062	11.67535	0.98907	1	-0.02508	0.00488	0.60544	0.00439	1	0.03673	0.00263	0.61044	0.00428	1	0	0.00000	25	START_RECORDING	
SMP	31079	526.54669	0.35480	0.44047	12.51843	0.98907	1	0.71854	0.46172	11.96077	0.99627	1	-0.02508	0.00488	0.60544	0.00407	1	0.03673	0.00263	0.61044	0.00461	1	0	0.00000	25	START_RECORDING	
SMP	31080	526.56317	0.35501	0.44024	11.88855	0.99627	1	0.71859	0.46172	11.82347	1.00347	1	-0.02508	0.00488	0.60544	0.00412	1	0.03634	0.00255	0.60402	0.00475	1	0	0.00000	25	START_RECORDING	
SMP	31081	526.57941	0.35472	0.43928	11.28170	1.00347	1	0.71830	0.46095	12.33914	1.00347	1	-0.02508	0.00488	0.60544	0.00444	1	0.03634	0.00255	0.60402	0.00419	1	0	0.00000	25	START_RECORDING	
SMP	31082	526.59607	0.35444	0.43975	11.72794	1.00347	1	0.71846	0.46108	12.05556	1.00347	1	-0.02508	0.00488	0.60544	0.00436	1	0.03634	0.00255	0.60402	0.00430	1	0	0.00000	25	START_RECORDING	
SMP	31083	526.61230	0.35444	0.43975	11.72794	1.00347	1	0.71828	0.46151	12.12984	0.99627	1	-0.02506	0.00476	0.60503	0.00436	1	0.03590	0.00251	0.59572	0.00453	1	0	0.00000	25	START_RECORDING	
SMP	31084	526.62891	0.35444	0.43975	11.72794	0.99627	1	0.71811	0.46093	12.03143	0.98907	1	-0.02506	0.00476	0.60503	0.00436	1	0.03590	0.00251	0.59572	0.00433	1	0	0.00000	25	START_RECORDING	
SMP	31085	526.64532	0.35458	0.43945	11.62473	0.98907	1	0.71857	0.46233	12.12756	0.98187	1	-0.02506	0.00476	0.60503	0.00430	1	0.03590	0.00251	0.59572	0.00470	1	0	0.00000	25	START_RECORDING	
SMP	31086	526.66156	0.35449	0.43969	11.60889	0.98187	1	0.71827	0.46135	12.00624	0.97468	1	-0.02506	0.00482	0.60487	0.00435	1	0.03590	0.00251	0.59572	0.00431	1	0	0.00000	25	START_RECORDING	
SMP	31087	526.67828	0.35421	0.43924	12.00397	0.97468	1	0.71825	0.46100	11.91167	0.97468	1	-0.02506	0.00482	0.60487	0.00427	1	0.03590	0.00251	0.59572	0.00448	1	0	0.00000	25	START_RECORDING	
SMP	31088	526.69458	0.35420	0.43999	12.06293	0.97468	1	0.71806	0.46050	11.87088	0.97468	1	-0.02506	0.00482	0.60487	0.00417	1	0.03590	0.00251	0.59572	0.00419	1	0	0.00000	25	START_RECORDING	
SMP	31089	526.71106	0.35418	0.44005	12.12139	0.97468	1	0.71893	0.46172	13.12907	0.97468	1	-0.02508	0.00488	0.60544	0.00413	1	0.03590	0.00251	0.59572	0.00437	1	0	0.00000	25	START_RECORDING	
SMP	31090	526.72766	0.35427	0.44059	11.91662	0.97468	1	0.71924	0.46228	12.92218	0.97468	1	-0.02508	0.00488	0.60544	0.00411	1	0.03590	0.00251	0.59572	0.00445	1	0	0.00000	25	START_RECORDING	
SMP	31091	526.74377	0.35400	0.44040	12.09521	0.97468	1	0.71840	0.46142	12.76890	0.97468	1	-0.02508	0.00488	0.60544	0.00415	1	0.03590	0.00251	0.59572	0.00420	1	0	0.00000	25	START_RECORDING	
SMP	31092	526.76031	0.35510	0.44003	12.11003	0.97468	1	0.71823	0.46147	11.98564	0.98187	1	-0.02506	0.00482	0.60487	0.00409	1	0.03660	0.00250	0.60647	0.00412	1	0	0.00000	25	START_RECORDING	
