DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	4111	68.84380	0.33384	0.35031	11.14071	1.07200	1	0.69014	0.37392	12.50869	1.07200	1	-0.03052	0.01600	0.65123	0.00306	1	0.03186	0.01228	0.60062	0.00382	1	0	0.00000	33	START_RECORDING	
SMP	4112	68.86031	0.33512	0.35140	11.16158	1.08178	1	0.69261	0.37514	12.67877	1.07362	1	-0.03052	0.01600	0.65123	0.00327	1	0.03186	0.01228	0.60062	0.00371	1	0	0.00000	33	START_RECORDING	
SMP	4113	68.87653	0.33534	0.35162	11.19325	1.08341	1	0.69335	0.37487	14.01083	1.07525	1	-0.03052	0.01600	0.65123	0.00331	1	0.03186	0.01228	0.60062	0.00353	1	0	0.00000	33	START_RECORDING	
SMP	4114	68.89317	0.33934	0.35257	10.50359	1.07525	1	0.69725	0.37769	12.86590	1.07525	1	-0.02852	0.01524	0.63003	0.00335	1	0.03468	0.01251	0.63257	0.00356	1	0	0.00000	33	START_RECORDING	
SMP	4115	68.90954	0.34068	0.35353	10.82498	1.06546	1	0.69833	0.37875	12.49574	1.07362	1	-0.02852	0.01524	0.63003	0.00340	1	0.03468	0.01251	0.63257	0.00364	1	0	0.00000	33	START_RECORDING	
SMP	4116	68.92591	0.34052	0.35387	11.51208	1.06384	1	0.69913	0.37850	13.50575	1.07200	1	-0.02852	0.01524	0.63003	0.00344	1	0.03468	0.01251	0.63257	0.00346	1	0	0.00000	33	START_RECORDING	
SMP	4117	68.94228	0.34391	0.35569	11.28859	1.05364	1	0.70205	0.37993	12.88859	1.06180	1	-0.02708	0.01464	0.61469	0.00322	1	0.03421	0.01183	0.60939	0.00360	1	0	0.00000	33	START_RECORDING	
SMP	4118	68.95866	0.34475	0.35593	10.94444	1.05324	1	0.70331	0.38112	12.93575	1.05324	1	-0.02708	0.01464	0.61469	0.00346	1	0.03421	0.01183	0.60939	0.00364	1	0	0.00000	33	START_RECORDING	
SMP	4119	68.97530	0.34513	0.35662	11.44033	1.04467	1	0.70314	0.38092	12.67023	1.04467	1	-0.02708	0.01464	0.61469	0.00341	1	0.03421	0.01183	0.60939	0.00371	1	0	0.00000	33	START_RECORDING	
SMP	4120	68.99168	0.34706	0.35727	11.05354	1.03611	1	0.70354	0.38227	12.03573	1.02795	1	-0.02667	0.01438	0.61586	0.00336	1	0.03444	0.01156	0.60441	0.00446	1	0	0.00000	33	START_RECORDING	
SMP	4121	69.00819	0.34804	0.35858	11.48410	1.02795	1	0.70654	0.38201	12.80796	1.01979	1	-0.02667	0.01438	0.61586	0.00341	1	0.03444	0.01156	0.60441	0.00364	1	0	0.00000	33	START_RECORDING	
SMP	4122	69.02455	0.34788	0.35871	11.74959	1.01979	1	0.70712	0.38169	13.23106	1.01163	1	-0.02667	0.01438	0.61586	0.00340	1	0.03444	0.01156	0.60441	0.00374	1	0	0.00000	33	START_RECORDING	
SMP	4123	69.04118	0.34919	0.35983	11.57021	1.02019	1	0.70665	0.38280	12.18636	1.02019	1	-0.02705	0.01457	0.63434	0.00322	1	0.03608	0.01182	0.62396	0.00450	1	0	0.00000	33	START_RECORDING	
SMP	4124	69.05741	0.34926	0.36035	11.31512	1.02876	1	0.70849	0.38280	12.78795	1.03692	1	-0.02705	0.01457	0.63434	0.00341	1	0.03608	0.01182	0.62396	0.00359	1	0	0.00000	33	START_RECORDING	
